International plan,Voice mail plan,Churn,Account length,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
0,1,0,0.6921633186157149,1.2475083816833452,1.5796695875462738,0.4848677513166816,-0.058618850397207885,-0.05078122796680547,0.8574034446394462,-0.4690310420306926,-0.08502029573764311,-0.5975267343143399,-0.42917241045590593
0,1,0,0.16127782725999495,1.3209852583528354,-0.32991808608894013,1.1353747201214486,-0.09591619935677599,0.14765446827284892,1.048458149949096,0.149053609971034,1.2421789465716733,-0.5975267343143399,-0.42917241045590593
0,0,0,0.9196856720538805,-0.5894135350539065,1.1793019303686492,0.6850237417181483,-1.5544388455125142,0.49491693669224407,-0.759667824012329,0.20056066430451122,0.7041251996895179,0.21689365100367133,-1.1919548413062027
1,0,0,-0.420168187081984,-0.5894135350539065,2.212508787601228,-1.4666531550976192,-2.7185087367242944,-0.596479392625855,-0.0840826289483106,-0.572045150697647,-1.3046087886705289,1.0313140363216826,0.3336100203943908
1,0,0,-0.6476905405201497,-0.5894135350539065,-0.2358224615909732,0.6349847441177816,-1.0224608682470966,1.0902240254112072,-0.2810462426695987,1.076180587973624,-0.04915004594549955,-0.5975267343143399,1.0963924512446874
1,0,0,0.43936070368441965,-0.5894135350539065,0.8102994813570136,-0.11560021988771861,0.3968014105827801,0.04843662015302173,0.05379190065659106,0.9216594249731922,-1.4122195380469598,0.6241038436626769,-1.1919548413062027
0,1,0,0.5152014881638083,1.174031505013855,0.7143588446139881,-0.6159901958913855,2.9075019010715946,0.3956990885724169,0.22515024459411148,0.9216594249731922,-0.9817765405412354,1.0313140363216826,1.0963924512446874
1,0,0,1.1724882869851758,-0.5894135350539065,-0.4147886493616162,-1.0663411742946856,-1.9097451698115568,-0.29882584826637343,0.20939315549640877,-0.21149577036330652,-1.1252575397098104,0.6241038436626769,-1.1919548413062027
1,1,0,1.0208067180263987,2.129230901717226,1.4597437916174922,-0.8161461862928522,0.424283667710883,0.5445258607521577,2.46659616874237,-0.1599887160298293,0.34542270176808093,0.21689365100367133,-1.1919548413062027
0,0,0,-0.6729708020132792,-0.5894135350539065,0.15163010987124403,1.3355307105229153,-0.7260450949368458,2.380056050968961,-0.10180935418322665,-0.31450987903026095,-0.4078525438669365,0.21689365100367133,-1.1919548413062027
